Visiting a world city	architecture	Architektur	The museum is famous for its unusual ___.
Visiting a world city	attraction	Attraktion; Sehenswürdigkeit	The new observation deck is a popular tourist ___.
Visiting a world city	awe-inspiring	beeindruckend; Ehrfurcht einflößend	The enormous size of the canyon left us speechless. It was ___.
Visiting a world city	breathtaking	atemberaubend	The view from the mountain was so beautiful that it was ___.
Visiting a world city	contemporary	zeitgenössisch; zeitgemäß	This gallery specialises in ___ art created by artists working today.
Visiting a world city	historic	historisch bedeutsam	The signing of the peace agreement was a ___ moment.
Visiting a world city	hub	Zentrum; Mittelpunkt	The airport is a major transport ___ connecting three continents.
Visiting a world city	landmark	Wahrzeichen	The Eiffel Tower is a famous Parisian ___.
Visiting a world city	marvellous	fabelhaft; herrlich	Thank you for a ___ evening. We enjoyed every minute.
Visiting a world city	megacity	Millionenstadt	With more than ten million residents, this place is a ___.
Visiting a world city	memorial	Gedenkstätte; Denkmal; Denkschrift	People laid flowers at the war ___ to remember those who died.
Visiting a world city	metropolis	Metropole; Weltstadt	Tokyo is a vast ___ with global economic influence.
Visiting a world city	monument	Monument; Denkmal	The city built a stone ___ to honour its founder.
Visiting a world city	reputation	Ruf	The restaurant has a good ___ for serving fresh food.
Visiting a world city	sight	Sehenswürdigkeit; Anblick	The bridge is a wonderful ___ at sunset.
Population	to adapt to sth	sich etwas anpassen	It takes time to ___ a different way of life.
Population	to assimilate	integrieren; eingliedern	Some newcomers feel pressure to ___ into the dominant culture.
Population	to cooperate	kooperieren; zusammenarbeiten	The two teams agreed to ___ on the project.
Population	cosmopolitan	weltoffen; international; kosmopolitisch	With people and influences from around the globe, it is a ___ city.
Population	crowd	Menschenmenge	A large ___ gathered outside the theatre.
Population	custom	Brauch; Sitte; Gewohnheit	Giving small gifts on this holiday is a local ___.
Population	diversity	Vielfalt; Verschiedenheit	The festival celebrates cultural ___ through food and music.
Population	ethnic	ethnisch; Volks-	The survey asked about people's ___ backgrounds.
Population	habit	Gewohnheit	Checking my phone before breakfast is a daily ___.
Population	heterogeneous	heterogen; verschiedenartig	The group is ___: its members have very different backgrounds.
Population	immigrant	Einwanderer/-in; Immigrant/-in	An ___ is someone who comes to live in another country.
Population	influx	Zustrom	The town saw a sudden ___ of visitors during the festival.
Population	inhabitant	Einwohner/-in; Bewohner/-in	Every ___ of the village received a letter from the council.
Population	migrant	Migrant/-in	A ___ moves from one place to another, sometimes within the same country.
Population	minority	Minderheit	Only ten per cent agreed, so they were in the ___.
Population	multicultural	multikulturell	Our ___ school brings together learners from many cultures.
Population	population	Bevölkerung; Population	The island has a ___ of about fifty thousand people.
Population	social status	gesellschaftliches Ansehen	In this society, a person's job strongly influences their ___.
Population	variety (of)	Vielzahl (an); Vielfalt (von)	The market offers a wide ___ of fresh vegetables.
Living and working	anonymity	Anonymität	The writer uses a false name to protect her ___.
Living and working	borough	Bezirk; Stadtteil	Brooklyn is a ___ of New York City.
Living and working	to come true	wahr werden; in Erfüllung gehen	She worked hard to make her dream ___.
Living and working	commercial	kommerziell; profitorientiert	The film made a lot of money and became a ___ success.
Living and working	community	Gemeinde; Gemeinschaft	Everyone in our local ___ helped clean up the park.
Living and working	to commute	pendeln	I have to ___ by train between my home and my office.
Living and working	concrete	Beton	The builders used ___ to make the foundations.
Living and working	to consist of	bestehen aus	The course will ___ six separate units.
Living and working	downtown	Stadtzentrum; im Stadtzentrum	We went ___ to visit the shops in the city centre.
Living and working	green space	Grünfläche	The council turned the old car park into a ___ with trees and grass.
Living and working	job opportunity	Stellenangebot; Arbeitsgelegenheit	She moved to the city because of an exciting ___ at a museum.
Living and working	to make it	es schaffen	The competition is tough, but she hopes to ___ as an actor.
Living and working	neighbourhood	Stadtviertel	There is a small bakery on every street in our ___.
Living and working	office space	Bürofläche	The company needs more ___ for its growing team.
Living and working	residential	Wohn-	Factories are not allowed in this ___ area.
Living and working	suburb	Vorort	They live in a quiet ___ just outside the city.
Living and working	transit system	Transportsystem	Buses and underground trains are part of the city's ___.
Living and working	urban	städtisch; Stadt-	The report compares ___ life with life in rural areas.
Living and working	to work from home	im Homeoffice arbeiten	With a laptop and internet access, I can ___ instead of going to the office.
Urban development	to be located	gelegen sein; liegen	The new library will ___ next to the station.
Urban development	to benefit (from)	von etwas profitieren	Small shops can ___ from the arrival of more visitors.
Urban development	decline	Rückgang; Abnahme; Niedergang	The closure of factories caused a sharp ___ in local employment.
